,cs_id_100,100,cs_id_200,200,cs_id_300,300,cs_id_358,358,cs_id_966,966,cluster_size
38,ENSG00000198468_L1_100,29,ENSG00000198468_L1_200,29,ENSG00000198468_L1_300,28,ENSG00000198468_L1_358,28,ENSG00000198468_L1_966,12,5.0
39,ENSG00000142794_L1_100,4,ENSG00000142794_L1_200,3,ENSG00000142794_L1_300,2,ENSG00000142794_L1_358,3,ENSG00000142794_L1_966,3,5.0
40,ENSG00000090686_L1_100,11,ENSG00000090686_L1_200,5,ENSG00000090686_L1_300,8,ENSG00000090686_L1_358,5,ENSG00000090686_L1_966,2,5.0
41,ENSG00000162817_L1_100,2,ENSG00000162817_L1_200,2,ENSG00000162817_L1_300,2,ENSG00000162817_L1_358,3,ENSG00000162817_L1_966,2,5.0
42,ENSG00000135778_L1_100,3,ENSG00000135778_L1_200,2,ENSG00000135778_L1_300,2,ENSG00000135778_L1_358,2,ENSG00000135778_L1_966,4,5.0
43,ENSG00000162885_L1_100,2,ENSG00000162885_L1_200,4,ENSG00000162885_L1_300,2,ENSG00000162885_L1_358,2,ENSG00000162885_L1_966,1,5.0
44,ENSG00000054282_L1_100,71,ENSG00000054282_L1_200,30,ENSG00000054282_L1_300,34,ENSG00000054282_L1_358,28,ENSG00000054282_L1_966,39,5.0
45,ENSG00000203666_L1_100,2,ENSG00000203666_L1_200,2,ENSG00000203666_L1_300,2,ENSG00000203666_L1_358,2,,,4.0
46,ENSG00000184022_L1_100,107,ENSG00000184022_L1_200,94,ENSG00000184022_L1_300,35,ENSG00000184022_L1_358,27,ENSG00000184022_L1_966,14,5.0
47,ENSG00000229255_L1_100,122,ENSG00000229255_L1_200,18,ENSG00000229255_L1_300,1,ENSG00000229255_L1_358,1,ENSG00000229255_L1_966,1,5.0
48,ENSG00000157881_L1_100,33,ENSG00000157881_L1_200,26,ENSG00000157881_L1_300,33,ENSG00000157881_L1_358,31,,,4.0
49,ENSG00000285823_L1_100,7,ENSG00000285823_L1_200,6,ENSG00000285823_L1_300,6,ENSG00000285823_L1_358,6,ENSG00000285823_L1_966,6,5.0
50,ENSG00000187010_L1_100,3,ENSG00000187010_L1_200,2,ENSG00000187010_L1_300,2,ENSG00000187010_L1_358,2,ENSG00000187010_L1_966,2,5.0
51,ENSG00000117640_L1_100,4,,,,,,,,,1.0
52,ENSG00000158022_L1_100,51,ENSG00000158022_L1_200,51,ENSG00000158022_L1_300,48,ENSG00000158022_L1_358,48,ENSG00000158022_L1_966,46,5.0
53,ENSG00000117748_L1_100,2,ENSG00000117748_L1_200,2,ENSG00000117748_L1_300,1,ENSG00000117748_L1_358,2,ENSG00000117748_L1_966,2,5.0
54,ENSG00000270605_L1_100,57,ENSG00000270605_L1_200,31,ENSG00000270605_L1_300,36,ENSG00000270605_L1_358,28,ENSG00000270605_L1_966,28,5.0
55,ENSG00000271554_L1_100,15,ENSG00000271554_L1_200,7,ENSG00000271554_L1_300,8,ENSG00000271554_L1_358,7,ENSG00000271554_L1_966,4,5.0
56,ENSG00000116883_L1_100,8,ENSG00000116883_L1_200,6,ENSG00000116883_L1_300,6,ENSG00000116883_L1_358,7,ENSG00000116883_L1_966,2,5.0
57,ENSG00000163875_L1_100,14,ENSG00000163875_L1_200,17,ENSG00000163875_L1_300,1,ENSG00000163875_L1_358,4,ENSG00000163875_L1_966,2,5.0
58,ENSG00000116198_L1_100,24,ENSG00000116198_L1_200,35,ENSG00000116198_L1_300,23,ENSG00000116198_L1_358,23,ENSG00000116198_L1_966,18,5.0
59,ENSG00000284719_L1_100,7,ENSG00000284719_L1_200,2,ENSG00000284719_L1_300,1,ENSG00000284719_L1_358,1,ENSG00000284719_L1_966,1,5.0
60,ENSG00000116985_L1_100,2,,,,,,,ENSG00000116985_L1_966,1,2.0
61,ENSG00000198754_L1_100,2,ENSG00000198754_L1_200,2,ENSG00000198754_L1_300,2,ENSG00000198754_L1_358,1,ENSG00000198754_L1_966,1,5.0
62,ENSG00000043514_L1_100,7,ENSG00000043514_L1_200,9,ENSG00000043514_L1_300,9,ENSG00000043514_L1_358,9,ENSG00000043514_L1_966,7,5.0
63,ENSG00000131238_L1_100,53,ENSG00000131238_L1_200,25,ENSG00000131238_L1_300,18,ENSG00000131238_L1_358,7,,,4.0
64,ENSG00000171793_L1_100,15,,,,,,,,,1.0
65,ENSG00000235358_L1_100,82,ENSG00000235358_L1_200,71,ENSG00000235358_L1_300,18,ENSG00000235358_L1_358,18,ENSG00000235358_L1_966,44,5.0
66,ENSG00000280670_L1_100,60,ENSG00000280670_L1_200,58,ENSG00000280670_L1_300,59,ENSG00000280670_L1_358,56,ENSG00000280670_L1_966,13,5.0
67,ENSG00000159592_L1_100,260,ENSG00000159592_L1_200,257,ENSG00000159592_L1_300,215,ENSG00000159592_L1_358,220,ENSG00000159592_L1_966,171,5.0
68,ENSG00000117481_L1_100,192,ENSG00000117481_L1_200,187,ENSG00000117481_L1_300,175,ENSG00000117481_L1_358,185,ENSG00000117481_L1_966,181,5.0
69,ENSG00000215883_L1_100,1,ENSG00000215883_L1_200,1,ENSG00000215883_L1_300,1,ENSG00000215883_L1_358,1,ENSG00000215883_L1_966,1,5.0
70,ENSG00000162620_L1_100,50,ENSG00000162620_L1_200,47,ENSG00000162620_L1_300,46,ENSG00000162620_L1_358,45,ENSG00000162620_L1_966,45,5.0
71,ENSG00000272864_L1_100,2,ENSG00000272864_L1_200,6,ENSG00000272864_L1_300,5,ENSG00000272864_L1_358,6,ENSG00000272864_L1_966,5,5.0
72,ENSG00000116791_L1_100,15,ENSG00000116791_L1_200,15,ENSG00000116791_L1_300,13,ENSG00000116791_L1_358,13,ENSG00000116791_L1_966,8,5.0
73,ENSG00000137968_L1_100,36,ENSG00000137968_L1_200,38,ENSG00000137968_L1_300,32,ENSG00000137968_L1_358,31,ENSG00000137968_L1_966,22,5.0
74,ENSG00000049247_L1_100,4,ENSG00000049247_L1_200,4,ENSG00000049247_L1_300,1,ENSG00000049247_L1_358,1,ENSG00000049247_L1_966,1,5.0
75,ENSG00000171517_L1_100,1,ENSG00000171517_L1_200,1,ENSG00000171517_L1_300,1,ENSG00000171517_L1_358,1,ENSG00000171517_L1_966,1,5.0
76,ENSG00000117174_L1_100,74,ENSG00000117174_L1_200,24,ENSG00000117174_L1_300,20,ENSG00000117174_L1_358,19,ENSG00000117174_L1_966,18,5.0
77,ENSG00000137944_L1_100,49,ENSG00000137944_L1_200,50,ENSG00000137944_L1_300,46,ENSG00000137944_L1_358,43,ENSG00000137944_L1_966,46,5.0
78,ENSG00000117226_L1_100,16,ENSG00000117226_L1_200,10,ENSG00000117226_L1_300,7,ENSG00000117226_L1_358,5,ENSG00000117226_L1_966,3,5.0
